"local_authority_id","name","ons_code","year","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles"
178,"Kingston upon Thames","E09000021",1995,333.888,207.47,528395906.033763,612846554.248191
202,"York","E06000014",1996,831.795,516.85,562345525.257496,675425466.525491
159,"Sheffield","E08000019",1996,1952.386,1213.16,1224068730.48894,1498435370.56092
66,"Hillingdon","E09000017",1996,724.474,450.17,1133043678.66659,1331518064.5033
61,"Derbyshire","E10000007",1996,5558.606,3453.96,3279966440.98465,4120300834.37724
21,"Merthyr Tydfil","W06000024",1996,326.855,203.1,169148607.755707,203669156.501034
127,"Southend-on-Sea","E06000033",1997,440.677,273.82,327390742.439155,381332680.27221
180,"Bracknell Forest","E06000036",1997,441.136,274.11,376428747.986757,434378043.4761
191,"Milton Keynes","E06000042",1997,1147.936,713.29,1101761265.45972,1329502172.31369
149,"Wolverhampton","E08000031",1997,740.404,460.07,597941349.394536,719429673.208463
53,"Comhairle nan Eilean Siar","S12000013",1997,1239.894,770.43,82102631.2584506,107614559.721228
47,"Dundee City","S12000042",1997,553.703,344.06,415079630.582399,490354835.262069
21,"Merthyr Tydfil","W06000024",1997,327.712,203.63,172340279.641891,208372205.693749
180,"Bracknell Forest","E06000036",1998,442.222,274.78,376437065.040165,436421970.069792
114,"Reading","E06000038",1998,387.18,240.58,341543920.379981,402823436.132983
114,"Reading","E06000038",1999,388.6,241.46,345055615.20719,407528328.312654
113,"Wokingham","E06000041",1999,708.4,440.18,852925890.300644,1012253372.18146
83,"Buckinghamshire","E10000002",1999,3237.12,2011.45,3142996392.31886,3743885988.32816
37,"South Lanarkshire","S12000029",1999,2475.6,1538.27,1016657597.13274,1328120016.60304
91,"Trafford","E08000009",2000,792.6,492.5,797095087.741738,957619726.688715
111,"Hounslow","E09000018",2000,494.4,307.21,887482963.420447,1048417323.93437
16,"Pembrokeshire","W06000009",2000,2568.8,1596.18,469375601.445367,602836659.007635
91,"Trafford","E08000009",2001,794.4,493.62,789084324.887866,943429015.805159
158,"St. Helens","E08000013",2001,718.6,446.52,605772215.811105,761370037.774406
93,"Tower Hamlets","E09000030",2001,287.2,178.46,454663550.604184,588415181.213925
109,"Westminster","E09000033",2001,346.91,215.56,490442013.204214,642034503.879007
185,"Harrow","E09000015",2002,471.7,293.1,350519499.213514,405627019.781941
110,"Kensington and Chelsea","E09000020",2002,207.9,129.18,283063514.151149,360325228.878569
77,"Cumbria","E10000006",2002,7961.8,4947.23,2556713173.73194,3331366883.24155
32,"Fife","S12000047",2002,2747.6,1707.28,1368314400.15311,1673511090.85441
156,"Halton","E06000006",2003,555.3345,345.07,498888642.665645,614493430.449053
198,"Blackburn with Darwen","E06000008",2003,564.0415,350.48,352101949.282503,428180243.014669
30,"Falkirk","S12000014",2003,913.649,567.72,678128988.581683,857595603.550266
35,"Highland","S12000017",2003,8258.5035,5131.6,1191045375.10315,1529073232.38537
192,"Sefton","E08000014",2004,990.73,615.61,586870025.329559,712592522.839159
165,"Haringey","E09000014",2004,358.9,223.01,293621411.888147,373633215.79975
28,"Renfrewshire","S12000038",2004,920.8,572.16,726283290.765225,882982573.601367
52,"Angus","S12000041",2004,1812.6,1126.3,485229895.342698,614954032.606578
23,"Ceredigion","W06000008",2005,2243,1393.74,333012077.701414,436158207.720048
139,"Cornwall excluding Isles of Scilly","E06000052",2006,7386,4589.45,2306206043.10804,2914726459.9927
162,"Oldham","E08000004",2006,830,515.74,546268515.410456,676211106.223541
175,"Richmond upon Thames","E09000027",2006,414,257.25,434393485.656048,526591315.008322
22,"Rhondda, Cynon, Taff","W06000016",2006,1175.3,730.3,1038924294.49232,1264588981.92716
106,"Bexley","E09000004",2007,539.09999996,334.98,475932442.479544,601703171.932042
34,"East Lothian","S12000010",2007,1091.400000003,678.16,450191308.384037,567925735.268532
55,"Shetland Islands","S12000027",2007,1064.2,661.26,92085850.8187187,127217971.421896
199,"Isle of Wight","E06000046",2008,869.60000003,540.34,315825763.247049,394436109.78774
